topic_id,title,domain,wiki_repo,wiki_path,active_state
topic-direct-hold-framework,Direct-Hold Framework,corporate,content-wiki-corporate,topic-direct-hold-framework.md,active
topic-equity-transfer-model,Equity Transfer Model,corporate,content-wiki-corporate,topic-equity-transfer-model.md,active
topic-fiduciary-data-mandate,Fiduciary Data Mandate,corporate,content-wiki-corporate,topic-fiduciary-data-mandate.md,active
topic-interest-coverage-ratio,Interest Coverage Ratio,corporate,content-wiki-corporate,topic-interest-coverage-ratio.md,active
topic-redemption-elimination,Redemption Elimination,corporate,content-wiki-corporate,topic-redemption-elimination.md,active
